key	title	year	authors	url	v1_decision	v1_reason	doi
rayyan-641977837	EventSleep: Sleep Activity Recognition with Event Cameras	2024	Carlos Plou and Nerea Gallego and Alberto Sabater and Eduardo Montijano and Pablo Urcola and Luis Montesano and Ruben Martinez-Cantin and Ana C. Murillo	http://arxiv.org/abs/2404.01801v1	Exclude	EC-I	
rayyan-641977838	Sleep Stage Classification using Multimodal Embedding Fusion from EOG and PSM	2025	Olivier Papillon and Rafik Goubran and James Green and Julien Larivière-Chartier and Caitlin Higginson and Frank Knoefel and Rébecca Robillard	http://arxiv.org/abs/2506.06912v1	Exclude	EC-I	
rayyan-641977839	SleepPPG-Net: a deep learning algorithm for robust sleep staging from continuous photoplethysmography	2022	Kevin Kotzen and Peter H. Charlton and Sharon Salabi and Lea Amar and Amir Landesberg and Joachim A. Behar	http://arxiv.org/abs/2202.05735v4	Exclude	EC-I	
rayyan-641977840	Lightweight ML-Based Automatic Sleep Staging Framework with Constrained CNN and Mamba for Small-Sample EEG Datasets	2026	Zihao Wei and Yulin Gong and Yudan Lv	http://arxiv.org/abs/2607.04934v1	Exclude	EC-I	
rayyan-641977841	Using Legacy Polysomnography Data to Train a Radar System to Quantify Sleep in Older Adults and People living with Dementia	2026	M. Yin and K. G. Ravindran and C. Hadjipanayi and A. Bannon and A. Rapeaux and C. Della Monica and T. S. Lande and Derk-Jan Dijk and T. G. Constandinou	http://arxiv.org/abs/2601.04057v1	Include	IC-P, IC-I	
rayyan-641977842	Estimating Respiratory Effort from Nocturnal Breathing Sounds for Obstructive Sleep Apnoea Screening	2025	Xiaolei Xu and Chaoyue Niu and Guy J. Brown and Hector Romero and Ning Ma	http://arxiv.org/abs/2509.14944v2	Include	IC-P, IC-I, IC-C, IC-O	
rayyan-641977843	Dynamic gNodeB Sleep Control for Energy-Conserving 5G Radio Access Network	2022	Pengfei Shen and Yulin Shao and Qi Cao and Lu Lu	http://arxiv.org/abs/2207.06309v1	Exclude	EC-I	
rayyan-641977844	Sleep-time Compute: Beyond Inference Scaling at Test-time	2025	Kevin Lin and Charlie Snell and Yu Wang and Charles Packer and Sarah Wooders and Ion Stoica and Joseph E. Gonzalez	http://arxiv.org/abs/2504.13171v1	Exclude	EC-S	
rayyan-641977845	Voice-Based Conversational Agents for self-reporting fluid consumption and sleep quality	2022	Abdalsalam Almzayyen and Angel Vela de la Garza Evia and Nick Coronato and Mehdi Boukhechba	http://arxiv.org/abs/2202.02186v1	Include	IC-I	
rayyan-641977846	Longitudinal wearable monitoring and polygenic risk for incident major depressive disorder in the All of Us Research Program	2026	Yuezhou Zhang and Amos A. Folarin and Rongrong Zhong and Hyunju Kim and Shaoxiong Sun and Callum Stewart and Richard JB Dobson	http://arxiv.org/abs/2608.06063v1	Exclude	EC-I	
rayyan-641977847	Sleep Model -- A Sequence Model for Predicting the Next Sleep Stage	2023	Iksoo Choi and Wonyong Sung	http://arxiv.org/abs/2302.12709v1	Exclude	EC-I	
rayyan-641977848	From sleep medicine to medicine during sleep: A clinical perspective	2021	Nitai Bar and Jonathan A. Sobel and Thomas Penzel and Yosi Shamay and Joachim A. Behar	http://arxiv.org/abs/2102.05452v1	Include	IC-P	
rayyan-641977849	Domain Invariant Representation Learning and Sleep Dynamics Modeling for Automatic Sleep Staging	2023	Seungyeon Lee and Thai-Hoang Pham and Zhao Cheng and Ping Zhang	http://arxiv.org/abs/2312.03196v3	Exclude	EC-I	
