title,year,authors,url,v1_decision,v1_reason,doi,v2_decision,v2_reason
"Sleep posture detection using an accelerometer placed on the neck","2022","RS Abdulsadig; S Singh; Z Patel","https://ieeexplore.ieee.org/abstract/document/9871300/","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","","Exclude","EC-D"
"The challenges and pitfalls of detecting sleep hypopnea using a wearable optical sensor: comparative study","2021","Z Zhang; M Qi; G Hügli; R Khatami","https://www.jmir.org/2021/7/e24171/","exclude","EC-I; EC-P","","",""
"Utilizing a wireless radar framework in combination with deep learning approaches to evaluate obstructive sleep apnea severity in home-setting environments","2025","KT Lee; WT Liu; YC Lin; Z Chen; YH Ho","https://www.tandfonline.com/doi/pdf/10.2147/JMDH.S486261","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","10.2147/JMDH.S486261","Exclude","EC-I"
"Flexible hybrid intraoral sleep monitoring system","2023","S Nabavi; J Cogan; A Roy; B Canfield","https://ieeexplore.ieee.org/abstract/document/10325122/","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-D"
"Self-supervised learning of accelerometer data provides new insights for sleep and its association with mortality","2024","H Yuan; T Plekhanova; R Walmsley; AC Reynolds","https://www.nature.com/articles/s41746-024-01065-0.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","","Include","IC-I"
"A single-center validation of the accuracy of a photoplethysmography-based smartwatch for screening obstructive sleep apnea","2021","Y Chen; W Wang; Y Guo; H Zhang","https://www.tandfonline.com/doi/pdf/10.2147/NSS.S323286","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C","10.2147/NSS.S323286","Include","IC-I"
"Respiratory event detection during sleep using electrocardiogram and respiratory related signals: Using polysomnogram and patch-type wearable device data","2021","M Yeo; H Byun; J Lee; J Byun; HY Rhee","https://ieeexplore.ieee.org/abstract/document/9492783/","include","IC-L; IC-T; IC-Y; IC-P; IC-C; IC-O","","Exclude","EC-D"
"Wearable tech revolutionising sleep monitoring: a new era in sleep health","","O YILDIRIM; R CHEONG","https://www.entandaudiologynews.com/media/38686/entnd24-tech-reviews-final.pdf","exclude","EC-O; EC-Y","","",""
"Deep learning for sleep quality assessment: A CNN‐based approach outperforming traditional algorithms in wearable accelerometer data analysis","2026","L Zhongyue; L Yi; L Qing; X Zhengru","https://onlinelibrary.wiley.com/doi/pdf/10.1002/slp2.70048","exclude","EC-I","10.1002/slp2.70048","",""
"Role of Smart Wearable Devices in OSA Detection","2026","M Karthik; K Gowthame; RB Namasivaya Navin","https://link.springer.com/article/10.1007/s12070-026-06526-4","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","10.1007/s12070-026-06526-4","Exclude","EC-D"
"Accelerometry-derived respiratory index estimating apnea-hypopnea index for sleep apnea screening","2021","A Bricout; J Fontecave-Jallon; JL Pepin","https://hal.science/hal-03680408/file/S0169260721002832.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","","Include","IC-I"
"Clinical study of an integrated sensor system for detection and classification of obstructive sleep apnea (OSA)","2025","S Kim; TH Dang; H Cho; S Shin; S Seo; S Lee; H Min","https://www.nature.com/articles/s41598-025-26119-5.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-O","","Exclude","EC-I"
"Design and Implementation of Low Power Embedded System for OSA Monitoring","2026","K Jin","https://www.utupub.fi/bitstreams/9c00cb14-6232-4150-a5ed-27fc9b255eb9/download","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","","Exclude","EC-D"
"GA-SPARF: Genetic algorithm-tuned random forest for sleep position monitoring using accelerometer","2026","HD Vu; DN Tran; QT Pham; DT Tran","https://link.springer.com/article/10.1007/s11325-026-03584-4","include","IC-L; IC-T; IC-Y; IC-P; IC-I","10.1007/s11325-026-03584-4","Exclude","EC-D"
"A wearable ballistocardiography device for estimating heart rate during positive airway pressure therapy: Investigational study among the general population","2021","M Gardner; S Randhawa; G Malouf; K Reynolds","https://cardio.jmir.org/2021/1/e26259","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-I"
"Monitoring and assessment for obstructive sleep apnea","2026","Y Xu; F Lin; S Chen; Z You; S Zhu; W Zhao; Q Zhao","https://onlinelibrary.wiley.com/doi/pdf/10.1002/flm2.70092","include","IC-L; IC-T; IC-Y; IC-P","10.1002/flm2.70092","Exclude","EC-E"
"Comparison of sleep position monitoring between NaTu sensor and video-validated polysomnography in patients with obstructive sleep apnea","2024","N Sattaratpaijit; C Thanawattano; K Leelasittikul","https://link.springer.com/article/10.1007/s11325-024-03076-3","include","IC-L; IC-T; IC-Y; IC-P; IC-C","10.1007/s11325-024-03076-3","Exclude","EC-D"
"Transforming Sleep Monitoring: Review of Wearable and Remote Devices Advancing Toward Home Polysomnography and Their Role in Predicting …","2024","D Vitazkova; H Kosnacova; D Turonova; E Foltan","https://www.preprints.org/frontend/manuscript/33f65f73aef95a9eaa5264b119d54f9b/download_pub","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","","Exclude","EC-E"
"Sleep-wake parameters can be detected in patients with chronic stroke using a multisensor accelerometer: a validation study","2021","E Gottlieb; L Churilov; E Werden; T Churchward","https://pmc.ncbi.nlm.nih.gov/articles/PMC7853221/pdf/jcsm.8812.pdf","exclude","EC-O","10.5664/jcsm.8812","",""
"Proposal for a home sleep monitoring platform employing a smart glove","2021","R Lazazzera; P Laguna; E Gil; G Carrault","https://www.mdpi.com/1424-8220/21/23/7976","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","","Exclude","EC-I"
"Classification of High-risk Sleep Apnea with Arrhythmia Using Heterogeneous Ensemble Learning from Wearable Accelerometer","2024","YK Kim; JH Koo; R Kim; GC Kim","https://ieeexplore.ieee.org/abstract/document/10822586/","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-D"
"Nationwide Study of the Association between Temperature Variability and Sleep Apnea, and the Modifying Role of Air Pollution, in a Moderate-to-Severe Risk OSA …","2026","A Li; H Wang; Q Zhang; X Zhu; C Xu; S Shi","https://pubs.acs.org/ehnea2/article-pdf/4/2/202/63324176/eh5c00045.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","","Include","IC-I"
"Comparison of the Fitbit® charge and polysomnography for measuring sleep quality in children with sleep disordered breathing","2022","Mohammed Hakim; Rebecca Miller; Mumin Hakim; Dmitry Tumin; Joseph D. Tobias; Kris R. Jatana; Vidya T. Raman","https://doi.org/10.23736/s2724-5276.18.05333-1","exclude","EC-O","10.23736/s2724-5276.18.05333-1","",""
"Feasibility of remote home monitoring with a T-shirt wearable device in post-recovery COVID-19 patients","2021","Massimo Mapelli; Carlo Vignati; Paola Gugliandolo; Daniela Fumagalli; Piergiuseppe Agostoni","https://doi.org/10.2459/jcm.0000000000001165","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","10.2459/jcm.0000000000001165","Exclude","EC-D"
"A sleep monitoring system using force sensor and an accelerometer sensor for screening sleep apnea","2021","S Lokavee; V Tantrakul; J Pengjiam","https://ieeexplore.ieee.org/abstract/document/9415835/","include","IC-L; IC-T; IC-Y; IC-P; IC-I","10.1109/kst51265.2021.9415835","Exclude","EC-D"
"Evaluation of Sleep Apnea in Stroke Patients Using a Portable Smartphone-Based System","2025","Yolanda Castillo-Escario; Sergiu Albu; Hatice Kumru; R. Jané","https://doi.org/10.1109/tnsre.2025.3628132","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","10.1109/tnsre.2025.3628132","Exclude","EC-D"
"Novel Type IV Monitoring Device With Advanced Oximetry Indicators Offers Accurate Diagnosis of Obstructive Sleep Apnea in Adults","2025","X Wu; S Zhang; S Li","https://academic.oup.com/ajrccm/article-abstract/211/Supplement_1/A4745/8336866","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","10.1164/ajrccm.2025.211.abstracts.a4745","Exclude","EC-I"
"Validating a Consumer Smartwatch for Nocturnal Respiratory Rate Measurements in Sleep Monitoring","2023","Hyunjun Jung; Dongyeop Kim; Jongmin Choi; Eun Yeon Joo","https://doi.org/10.3390/s23187976","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","10.3390/s23187976","Include","IC-I"
"Measuring Sleep and Respiration with Chest-Wall Accelerometry","2026","Alphonsus Tarcisius Jozef Maria; id_orcid 0000-0002-8018-6807 Schipper","https://research.tue.nl/en/publications/ff502fdc-0c49-49ad-97eb-e70649214895","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","","Exclude","EC-I, IC-T"
"SLEEP APNEA ASSESSMENT IN STROKE PATIENTS USING A SMARTPHONE","2026","Y Castillo-Escario; Sergiu Albu; Hatice Kumru; Raimon Jané","https://doi.org/10.1016/j.opresp.2026.100539","exclude","EC-O","10.1016/j.opresp.2026.100539","",""
"Detection of Sleep-Disordered Breathing in Patients with Spinal Cord Injury Using a Smartphone","2021","Yolanda Castillo-Escario; Hatice Kumru; Ignasi Ferrer-Lluis; Joan Vidal; R. Jané","https://doi.org/10.3390/s21217182","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","10.3390/s21217182","Exclude","EC-I"
"… Validation of the Smart Mattress Cover System: A Compact and Scalable Textile-Based Platform for Unobtrusive At-Home Multi-Parametric Sleep Monitoring","2026","C Marinai","https://tesidottorato.depositolegale.it/handle/20.500.14242/362971","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-D"
