title,year,authors,url,v1_decision,v1_reason,doi,v2_decision,v2_reason
Real-time sleep disorder monitoring design using dynamic temporal graphs with facial and acoustic feature fusion,2025,Fei Pei and Ying Zhou and Qiang-Qiang Fu and Hong Zhou,https://doi.org/10.3389/frai.2025.1681759,Include,IC-P IC-I IC-C IC-O,10.3389/frai.2025.1681759,Exclude,EC-I
Automatic cough detection via a multi-sensor smart garment using machine learning,2025,Philippe C. Dixon and Simon Dubeau and Jean-FranÃƒÂ§ois Roy and Pierre-Alexandre Fournier,https://doi.org/10.1016/j.compbiomed.2025.110192,Exclude,EC-I,10.1016/j.compbiomed.2025.110192,,
Biomedical signal interpretation and smartphone sensors for the assessment of trunk function and sleep disorders in patients with spinal cord injury,2022,Yolanda Castillo-Escario,https://doi.org/10.5821/dissertation-2117-429267,Exclude,EC-I,10.5821/dissertation-2117-429267,,
SleepEcho: An AI-Based System for Real-Time Snoring Detection and Classification,2026,Kevin Franklin James and MatÃƒÂ­as GarcÃƒÂ­a-Constantino,https://doi.org/10.1007/978-3-032-16992-1_10,Include,IC-I IC-P IC-O,10.1007/978-3-032-16992-1_10,Exclude,EC-I
"A compact and wireless wearable system for sleep apnea detection","2025","H Rahimi; A Rahdar; A Moradi; F Akbar","https://ieeexplore.ieee.org/abstract/document/11059735/","exclude","EC-Y","","",""
"Enhanced monitoring of sleep position in sleep apnea patients: Smartphone triaxial accelerometry compared with video-validated position from …","2021","I Ferrer-Lluis; Y Castillo-Escario; JM Montserrat; R Jané","https://www.mdpi.com/1424-8220/21/11/3689","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","","Exclude","EC-I"
"Sleep prediction using data from oximeter, accelerometer and snoring for portable monitor obstructive sleep apnea diagnosis","2024","DM Domingues; PR Rocha; ACMV Miachon","https://www.nature.com/articles/s41598-024-75935-8.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C","","Exclude","EC-I"
"Validation of an artificial intelligence-driven novel microphone-based wireless jaw movement and respiratory event detection system for home sleep apnea …","2026","J Tani; CS Huang; Y Aurora; YC Chung; SJ Ho","https://www.sciencedirect.com/science/article/pii/S1746809426005628","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","","Exclude","EC-I"
"A novel snore detection and suppression method for a flexible patch with MEMS microphone and accelerometer","2022","C He; J Tan; X Jian; G Zhong; H Wu","https://openreview.net/pdf?id=NLGfog9O6q","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-I"
"Smartphones and consumer devices in management of obstructive sleep apnea","2023","K Singh; A Jain; I Panchal; H Madan","https://ijsm.in/doi/IJSM/pdf/10.5005/jp-journals-10069-0108","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-D"
"A systematic review of smartphone applications and devices for obstructive sleep apnea","2022","PM Baptista; F Martin; H Ross; COC Reina","https://www.scielo.br/j/bjorl/a/nsjKzkhkYbFLSfw7XFFjZBR/?format=pdf&lang=en","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C","","Exclude","EC-E"
"Prediction of sleep stages via deep learning using smartphone audio recordings in home environments: model development and validation","2023","HH Tran; JK Hong; H Jang; J Jung; J Kim","https://www.jmir.org/2023/1/e46216/","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","","Include","IC-Y, IC-P, IC-I, IC-C, IC-O, IC-E"
"Monitoring sleep in real-world conditions using low-cost technology tools","2023","H Shama; N Gabinet; O Tzischinsky","https://www.tandfonline.com/doi/abs/10.1080/09291016.2022.2131990","include","IC-L; IC-T; IC-Y; IC-P; IC-I","10.1080/09291016.2022.2131990","Exclude","EC-D"
"Sleep apnea detection by tracheal motion and sound, and oximetry via application of deep neural networks","2023","N Montazeri Ghahjaverestan; C Aguiar","https://www.tandfonline.com/doi/pdf/10.2147/NSS.S397196","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","10.2147/NSS.S397196","Exclude","EC-I"
"A comprehensive review of home sleep monitoring technologies: smartphone apps, smartwatches, and smart mattresses","2025","BM Mathunjwa; RYJ Kor; W Ngarnkuekool; YL Hsu","https://www.mdpi.com/1424-8220/25/6/1771","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-E"
"Technologies for sleep monitoring at home: Wearables and nearables","2023","H Yoon; SH Choi","https://pmc.ncbi.nlm.nih.gov/articles/PMC10382403/pdf/13534_2023_Article_305.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","10.1007/s13534-023-00305-8","Exclude","EC-E, EC-N"
"Sleep staging algorithm based on smartwatch sensors for healthy and sleep apnea populations","2024","FB Silva; LFS Uribe; FX Cepeda; VFS Alquati","https://www.sciencedirect.com/science/article/pii/S138994572400248X","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","","Exclude","EC-D"
"A smart flexible vital signs and sleep monitoring belt based on MEMS triaxial accelerometer and pressure sensor","2022","C He; J Tan; X Jian; G Zhong","https://openreview.net/pdf?id=UtR74m2Euj","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Include","IC-Y, IC-P, IC-I, IC-C, IC-O"
"Apnea and Sleeping-state Recognition by Combination Use of Openair/Contact Microphones","2022","AA Maritsa; A Ohnishi; T Terada","http://www.interaction-ipsj.org/proceedings/2022/data/pdf/INT22010.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","","Exclude","EC-I"
"An IoT-Enabled Smart Pillow with Multi-Spectrum Deep Learning Model for Real-Time Snoring Detection and Intervention","2025","Z Liu; KKO Perin; G Li; J Wang; T He; Y Xu","https://www.mdpi.com/2076-3417/15/24/12891","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-I , EC-D"
"Sleep Monitoring and Sleep-Aid Intervention Methods: A Review","2025","C He; X Wang; Y Wen; S Liu; Z Fang","https://openreview.net/pdf?id=umcvNQN1m1","include","IC-L; IC-T; IC-Y; IC-P","","Exclude","EC-E, EC-N"
"Innovative Sleep Monitoring: A Non-Invasive Approach Using Force-Sensing Resistors for Analyzing Sleep Quality and Detecting Sleep-Related Breathing Disorders","2024","S Lokavee; J Pengjiam; V Tantrakul","https://ijg.e-geoinfo.com/index.php/journal/article/download/3123/1755","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Include","IC-Y, IC-P, IC-I, IC-C, IC-O"
